DateTime|SurfTermo|TermoSBE|ConductSBE|ScSBE|Lat|Lon|Speed|Cours
10.08.2021  14:29:30|-100.0|11.8148|7.41484|116.56651|51.65493|104.974724|7.91|151.3
10.08.2021  14:29:35|-100.0|11.7875|7.41475|116.506146|51.65477|104.974876|8.0|150.9
10.08.2021  14:29:43|-100.0|11.7696|7.41474|116.546588|51.65451|104.975113|7.97|151.2
10.08.2021  14:29:48|-100.0|11.7137|7.4146|116.495309|51.65435|104.975243|7.99|152.7
10.08.2021  14:29:56|-100.0|11.6949|7.41462|116.587679|51.654091|104.975487|8.03|149.9
10.08.2021  14:30:01|-100.0|11.6696|7.41451|116.488272|51.653927|104.975647|8.01|148.5
10.08.2021  14:30:09|-100.0|11.6316|7.41443|116.478261|51.653679|104.975883|7.98|149.0
10.08.2021  14:30:14|-100.0|11.6029|7.41432|116.389394|51.653515|104.976044|8.15|149.3
10.08.2021  14:30:22|-100.0|11.5963|7.41436|116.475982|51.653263|104.976288|7.94|149.2
10.08.2021  14:30:27|-100.0|11.6644|7.41445|116.406468|51.653111|104.97644|7.87|148.3
10.08.2021  14:30:35|-100.0|11.7114|7.41456|116.437118|51.652859|104.976685|7.99|148.4
10.08.2021  14:30:40|-100.0|11.7671|7.41456|116.260616|51.652706|104.976837|7.98|148.1
10.08.2021  14:30:48|-100.0|11.8311|7.41467|116.237945|51.652451|104.977089|8.01|148.5
10.08.2021  14:30:53|-100.0|11.8288|7.41457|116.082246|51.652294|104.977249|7.99|146.6
10.08.2021  14:31:01|-100.0|11.8409|7.41457|116.0442|51.652042|104.977509|7.91|147.5
10.08.2021  14:31:06|-100.0|11.9184|7.41468|115.979676|51.65189|104.977661|7.9|147.5
10.08.2021  14:31:14|-100.0|11.9615|7.41468|115.844877|51.651638|104.977905|8.03|148.9
10.08.2021  14:31:19|-100.0|11.9946|7.41473|115.822593|51.651482|104.978065|8.02|148.2
10.08.2021  14:31:27|-100.0|12.0489|7.41475|115.685874|51.651226|104.978317|8.12|148.6
10.08.2021  14:31:32|-100.0|12.082|7.41479|115.647732|51.651066|104.978477|8.14|148.3
10.08.2021  14:31:40|-100.0|12.0902|7.41482|115.670688|51.650814|104.978737|8.04|146.6
10.08.2021  14:31:45|-100.0|12.2115|7.41503|115.634237|51.650658|104.978912|8.03|146.9
10.08.2021  14:31:53|-100.0|12.2838|7.41516|115.620792|51.650406|104.979164|8.1|147.1
10.08.2021  14:31:58|-100.0|12.3235|7.41516|115.498672|51.650249|104.979332|8.1|147.2
